issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
1050-3293,Communication Theory,Comm,,,2,,,,,9.0,,A,
1050-4753,Behavioral Research in Accounting,F&A,,3,2,B,B,3,,3.7,B,A,3
1051-1377,Journal of Housing Economics,Economics [Range highest to,,2,1,A,,2,,3.3,,A,
1051-712X,Journal of Business-to-Business Marketing,Marketing,,4,2,C,B,1,S,2.2,C,B,4
1052-0457,Research in Accounting Regulation,F&A,,,,,,2,,N/A,C,,
1052-150X,Business Ethics Quarterly,"OS/OB,HRM/IR",,2,1,A,B,3,EP,6.2,A,A,2
1052-5629,Journal of Management Education,Education,,,1,,,2,,4.1,C,B,3
1052-6234,SIAM Journal on Optimization,"OR,MS,POM",,,2,,,3,EP,5.3,,,
1053-1858,Journal of Public Administration Research and Theory,PSM,,1,2,A,A,4,EP*,8.5,A,A,2
1053-4822,Human Resource Management Review,"OS/OB,HRM/IR",,3,2,A,B,3,P,20.2,A,A,2
1053-8372,Journal of the History of Economic Thought,Economics,,2,1,A,,2,,1.3,,B,
1054-8408,Journal of Travel and Tourism Marketing,Tourism,,3,1,B,,2,EP,13.5,,A,3
1056-4926,Journal of Management Inquiry,Gen & Strat,,3,1,A,B,3,S,8.3,B,A,2
1056-8190,Papers in Regional Science,Economics,,2,1,A,,3,,4.4,,A,3
1057-5219,International Review of Financial Analysis,F&A,,3,1,B,B,3,EP,10.3,B,A,3
1057-7408,Journal of Consumer Psychology,Marketing,1,1,1,A,A,4*,P*,8.4,A,A*,1
1057-9214,Journal of Multi-Criteria Decision Analysis,"OR,MS,POM",,4,1,C,,1,,4.7,B,B,
1057-9230,Health Economics (United Kingdom),Economics,,1,2,A,B,3,,3.6,A,A*,2
1058-0530,Information Systems Management,"MIS, KM",,,2,,,2,,14.6,B,A,4
1058-3300,Review of Financial Economics,F&A,,4,1,C,,1,,2.8,B,B,4
1058-4609,Political Communication,Comm,,,2,,,,EP*,13.9,,A,
1058-6407,Journal of Economics and Management Strategy,Economics,,1,2,A,B,2,P,3.2,B,A,2
1059-0560,International Review of Economics and Finance,Economics,,,1,C,,2,,7.3,C,A,3
1059-1478,Production and Operations Management,"OR,MS,POM",1,,2,A,A,4,P*,7.5,A,A*,1
1059-6011,Group and Organization Management,"OS/OB,HRM/IR",,3,2,A,B,3,S,8.4,B,A,2
1059-8596,Journal of Fixed Income,F&A,,3,1,B,B,2,,1.1,B,A,3
1061-0421,Journal of Product and Brand Management,Marketing,,4,1,B,,1,,10.9,C,A,4
1061-8600,Journal of Computational and Graphical Statistics,Economics,,,2,,,3,,3.5,,A*,
1061-9518,"Journal of International Accounting, Auditing and Taxation F&A",,,,1,,,3,,4.5,B,B,3
1062-7375,Journal of Global Information Management,"MIS, KM",,3,1,B,,2,,5.8,,A,3
1062-9769,Quarterly Review of Economics and Finance,Economics,,3,1,B,,2,,6.0,B,B,3
1063-8016,Journal of Database Management,"MIS, KM",,,2,,,1,,4.2,,A,4
1066-2243,Internet Research,"MIS, KM",,,2,,B,3,EP,11.2,B,A,3
1069-031X,Journal of International Marketing,Marketing,,2,2,A,B,3,S,8.7,B,A,2
1069-6679,Journal of Marketing Theory and Practice,Marketing,,4,1,C,,1,,6.8,B,B,4
1070-5511,Structural Equation Modeling,Marketing,,,1,,,,EP*,8.7,B,A,
1071-5819,International Journal of Human Computer Studies,"OR,MS,POM",,3,2,B,B,2,S,11.5,,B,3
1072-5245,International Journal of Stress Management,"Psych, OS/OB",,,1,,,2,,5.9,,A,4
1073-0516,ACM Transactions on Computer-Human Interaction,"MIS, KM",,4,2,B,B,,,8.5,B,,2
1074-1240,Journal of Derivatives,F&A,,3,1,B,B,2,S,1.3,B,A,3
1075-4253,Journal of International Management,IB,,3,2,B,B,3,S,9.8,B,A,2
1075-5470,Science Communication,Comm,,,2,,,,EP,13.5,,A,
1076-898X,Journal of Experimental Psychology: Applied,Psychology,,,1,,,4,,4.9,,A,
1076-8998,Journal of Occupational Health Psychology,Psychology,,,2,B,,4,EP*,8.2,B,A,2
1076-9307,International Journal of Finance and Economics,F&A,,3,1,B,,3,,5.7,,B,3
1078-1196,Journal of Applied Corporate Finance,F&A,,,1,,,1,,N/A,B,A,4
1080-8620,Real Estate Economics,Economics,,3,1,B,,3,S,4.0,B,A,3
1082-989X,Psychological Methods,Psychology,,,2,,,,EP*,13.1,A,B,
1083-5423,Tourism Analysis,Tourism,,,1,,,2,,2.5,,A,4
1086-0266,Organization and Environment,Gen & Strat,,2,2,A,B,3,P,11.2,B,A,2
1086-1718,Strategic Change,Gen & Strat,,4,,C,,2,,6.7,B,,4
1086-4415,International Journal of Electronic Commerce,"MIS, KM",,2,1,A,B,3,P,7.2,B,A,2
1088-1980,Journal of Industrial Ecology,Economics,,,2,,,2,EP,11.6,A,,3
1089-2699,Group Dynamics,Gen & Strat,,3,1,B,,2,,6.5,,B,3
1090-6738,International Journal of Auditing,F&A,,3,1,B,,2,,3.7,B,A,3
1090-9516,Journal of World Business,IB,,1,2,A,A,4,P,16.5,A,A*,1
1091-1421,Public Finance Review,Economics,,4,1,C,,,,1.3,B,B,
1091-9392,"Journal of Organizational Computing and Electronic Comm MIS, KM",,,,1,,,1,,5.8,C,A,4
1091-9856,INFORMS Journal on Computing,"OR,MS,POM",,,2,,,3,P*,4.2,A,A,
1092-0277,North American Actuarial Journal,F&A [Range highest to,,4,1,B,,2,,2.8,B,A,3
1092-4604,Knowledge and Process Management,"OR,MS,POM",,,1,C,,1,,7.1,,B,4
1094-1665,Asia Pacific Journal of Tourism Research,Tourism,,,1,,,1,,7.7,,A,
1094-2025,Review of Economic Dynamics,Economics,,2,2,A,,3,,3.3,,A*,
1094-4060,International Journal of Accounting,F&A,,3,1,B,B,3,,1.2,B,A,3
1094-4281,Organizational Research Methods,Gen & Strat,,2,2,A,A,4,P,23.2,A,A*,1
1094-6136,Journal of Scheduling,"OR,MS,POM",,3,2,B,B,1,S,3.8,A,B,
1094-6705,Journal of Service Research,Marketing,,2,2,A,A,4,P,20.3,A,A*,1
1094-9968,Journal of Interactive Marketing,Marketing,,2,2,A,B,3,P,20.2,B,A,2
1096-3480,Journal of Hospitality and Tourism Research,Tourism,,,1,,,2,,10.1,,A,3
1096-4762,Thunderbird International Business Review,IB,,4,1,C,,2,,4.3,B,B,3
1097-3923,Journal of Public Economic Theory,Economics,,2,1,A,,2,,2.3,B,A,
1099-2340,International Journal of Tourism Research,Tourism,,,1,,,2,,9.0,,A,3
1121-7081,Labour,Economics,,3,1,B,,1,,1.3,B,B,
1176-6093,Qualitative Research in Accounting and Management,F&A,,4,1,C,,2,,4.5,B,A,3
1229-4659,International Review of Public Administration,PSM,,4,2,C,,1,,2.0,C,B,4
1262-2788,Comptabilité - Contrôle - Audit,F&A,,2,,A,,,,1.7,,B,2
1286-4692,M@n@gement,Gen & Strat,,2,1,A,,1,,N/A,B,B,2
1350-1763,Journal of European Public Policy,PSM,,,2,,B,3,EP*,8.8,A,A,2
1350-178X,Journal of Economic Methodology,Economics,,2,1,A,,2,,3.2,,B,
1350-1917,Information Systems Journal,"MIS, KM",,2,2,A,A,4,S,14.6,A,A*,1
1350-231X,Journal of Brand Management,Marketing,,4,1,B,B,2,S,8.8,C,A,3
1350-4851,Applied Economics Letters,Economics,,4,1,C,,1,,2.9,,B,
1350-486X,Applied Mathematical Finance,F&A,,,1,C,,2,,2.3,C,B,4
1350-5076,Management Learning,Gen & Strat,,3,2,A,B,3,S,6.1,B,A,2
1350-5084,Organization,"OS/OB,HRM/IR",,1,2,A,B,3,S,8.0,B,A,2
1351-847X,European Journal of Finance,F&A,,4,1,B,B,3,S,5.4,B,A,3
1352-2752,Qualitative Market Research,Marketing,,4,1,C,,2,,3.9,C,B,4
1352-7266,Journal of Marketing Communications,Marketing,,,1,,,1,,7.7,C,B,
1354-7798,European Financial Management,F&A Economics;,,3,1,B,B,3,S,4.3,B,A,3
1354-8166,Tourism Economics,Tourism,,4,1,C,,2,,9.3,,A,4
1355-2554,International Journal of Entrepreneurial Behaviour and Re Entrep,,,4,1,B,,3,,10.2,B,A,3
1355-5855,Asia Pacific Journal of Marketing and Logistics,Marketing,,,1,,,1,,7.9,C,A,
1356-3890,Evaluation,PSM,,3,2,B,,2,,3.6,,B,3
1357-1516,International Journal of the Economics of Business,Economics,,3,1,B,,2,,2.6,,B,
1359-432X,European Journal of Work and Organizational Psychology,"OS/OB,HRM/IR",,4,1,B,B,3,S,8.0,B,A,3
1359-8546,Supply Chain Management,"OR,MS,POM",,3,2,A,B,3,S,16.7,B,A,2
1360-2381,Asia Pacific Business Review,IB,,3,1,B,,2,,4.4,C,B,4
1360-3736,International Journal of Training and Development,"OS/OB,HRM/IR",,,1,,,2,,3.4,,C,
1361-374X,Pacific Economic Review,Economics,,3,1,B,,2,,2.7,,B,
1361-4916,European Review of Economic History,Economics,,2,1,A,,3,EP,2.6,,A,
1361-9209,"Transportation Research Part D: Transport and Environme OR,MS,POM",,,3,2,B,B,3,S,14.4,B,A,2
1362-0436,Career Development International,"OS/OB,HRM/IR",,,1,C,,2,,5.4,C,A,4
1363-9196,International Journal of Innovation Management,Innovation,,4,1,C,,2,,3.7,B,,4
1364-985X,Australian Journal of Agricultural and Resource Economics,Economics,,3,1,B,,2,,6.3,,A,
1365-1005,Macroeconomic Dynamics,Economics,,2,1,A,,2,,2.1,,A,
1366-2716,Industry and Innovation,Innovation,,3,2,B,B,3,S,8.1,B,A,3
1366-5545,"Transportation Research Part E: Logistics and Transportat OR,MS,POM",,,2,2,A,A,3,P,16.2,B,A*,1
1367-3270,Journal of Knowledge Management,"MIS, KM",,3,2,B,B,2,EP*,13.7,C,A,2
1367-5567,"International Journal of Logistics Research and Application OR,MS,POM",,,3,1,B,,1,,13.7,C,B,3
1368-3500,Current Issues in Tourism,Tourism,,,1,B,,2,EP,15.5,,A,3
1368-4221,Econometrics Journal,Economics,,2,2,A,,3,EP,4.2,,A*,
1369-412X,International Review of Finance,F&A,,,1,,,,,3.3,C,A,
1370-4788,Annals of Public and Cooperative Economics,Economics,,,1,C,,2,,3.8,,B,4
1380-6645,Review of Derivatives Research,F&A,,4,1,B,,2,,1.4,A,B,3
1380-6653,Review of Accounting Studies,F&A,1,2,2,A,A,4,P*,7.9,A,A*,1
1381-4338,Journal of Economic Growth,Economics,,1,2,A,,3,EP,3.7,,A*,
1382-340X,International Negotiation,"OS/OB,HRM/IR [Range highest to",,,1,,,1,,1.2,,A,
1385-3457,Journal of Management and Governance,Gen & Strat,,4,1,C,,1,,6.4,C,C,4
1385-951X,Information Technology and Management,"MIS, KM",,,1,,,1,,4.5,B,B,4
1386-4157,Experimental Economics,Economics,,1,2,A,A,3,,4.1,,A*,
1386-4181,Journal of Financial Markets,F&A,,2,2,A,A,3,P,3.4,B,A*,2
1386-9620,Health Care Management Science,"MIS, KM",,4,1,B,,2,S,7.2,A,B,3
1387-3326,Information Systems Frontiers,"MIS, KM",,,1,B,B,3,EP,13.3,B,A,2
1389-5753,Electronic Commerce Research,"MIS, KM",,,1,,,2,,7.5,C,A,4
1432-2994,Mathematical Methods of Operations Research,"OR,MS,POM",,3,2,B,,1,,1.9,B,,
1439-2917,Schmalenbach Business Review,Gen & Strat,,,1,,,2,,N/A,B,,4
1441-3523,Sport Management Review,Gen & Strat,,,1,,B,2,,9.0,,A,3
1441-3582,Australasian Marketing Journal,Marketing,,,1,,,1,,14.9,C,A,
1447-6770,Journal of Hospitality and Tourism Management,Tourism,,,,,,2,,13.3,,A*,3
1449-8618,Australasian Journal of Information Systems,"MIS, KM",,,,,,1,,4.4,C,A,
1460-1060,European Journal of Innovation Management,Innovation,,4,1,C,,1,,10.4,C,C,3
1460-1559,Journal of Computational Finance,F&A,,,1,,,1,,0.9,B,C,4
1460-8545,International Journal of Management Reviews,Gen & Strat,,2,2,A,B,3,EP*,14.6,B,A*,2
1462-6004,Journal of Small Business and Enterprise Development,Entrep,,4,1,C,,2,,6.4,C,C,4
1463-6786,Manchester School,Economics,,3,1,B,,2,,1.8,,B,
1463-7154,Business Process Management Journal,"OR,MS,POM",,3,1,B,,2,,8.6,C,B,3
1465-6485,German Economic Review,Economics,,3,1,B,,2,,2.3,B,B,
1465-7503,International Journal of Entrepreneurship and Innovation,Entrep,,4,1,C,,2,,4.8,C,C,4
1467-2227,Enterprise and Society,Bus Hist,,3,2,B,,3,S,1.2,,A,3
1467-8721,Current Directions in Psychological Science,Psychology,,,1,,,4,,13.0,,,
1467-9566,Sociology of Health and Illness,Sociology,,,2,,,3,,6.1,,,
1467-985X,"Journal of the Royal Statistical Society. Series A: Statistics inOR,MS,POM",,,,1,,B,3,,2.9,,A,
1467-9868,"Journal of the Royal Statistical Society. Series B: Statistical MOR,MS,POM",,,2,2,A,A,4,,8.8,,A*,
1467-9876,"Journal of the Royal Statistical Society. Series C: Applied StOR,MS,POM",,,,2,,B,3,,2.5,,A,
1468-2621,African Affairs,IB,,,2,,,3,,4.3,,,
1468-2702,Journal of Economic Geography,Economics,,1,2,A,,4,EP,5.4,,A,2
1469-1825,Behavioral and Brain Sciences,Psychology,,,2,,,4,,1.4,,,
1469-7688,Quantitative Finance,F&A,,3,1,B,B,3,S,3.2,B,A,3
1470-5931,Marketing Theory,Marketing,,3,2,B,B,3,,5.9,B,A,3
1470-5958,International Journal of Cross Cultural Management,"OS/OB,HRM/IR",,4,1,C,,1,,3.5,C,B,4
1470-6423,International Journal of Consumer Studies,Marketing,,,1,,,2,,13.6,C,A,3
1470-7853,International Journal of Market Research,Marketing,,4,1,B,,2,,6.0,C,A,3
1471-6909,International Journal of Public Opinion Research,Marketing,,3,2,B,B,,,3.1,,A,
1471-7727,Information and Organization,F&A,,2,2,A,A,3,EP,11.2,B,A*,2
1471-9037,Public Management Review,PSM,,2,2,A,B,4,EP*,10.9,A,A,2
1472-0701,Corporate Governance: The International Journal of Busin Gen & Strat,,,,1,,,2,,11.2,C,B,4
1472-0817,Journal of Consumer Behaviour,Marketing,,,1,,,2,,7.3,B,A,3
1474-7871,Advances in Management Accounting,F&A,,,,,,2,,1.1,C,A,
1475-1461,Socio-Economic Review,Economics,,3,2,B,B,4,EP*,6.8,B,A,2
1475-1488,Advances in Accounting Behavioral Research,F&A,,,1,,,2,,0.5,B,A,
1475-4991,Review of Income and Wealth,Economics,,2,1,A,,3,,4.0,,A,
1475-9551,Culture and Organization,Sociology,,4,1,C,,2,,3.2,B,B,3
1476-1270,Strategic Organization,Gen & Strat,,2,2,A,B,3,P,9.8,B,A,1
1478-3363,Total Quality Management and Business Excellence,"OR,MS,POM",,4,1,C,,2,S,8.9,,C,4
1478-4092,Journal of Purchasing and Supply Management,"OR,MS,POM",,3,1,B,B,3,P,10.3,B,A,2
1479-2931,Maritime Economics and Logistics,Economics,,,1,,,1,S,8.0,,B,
1479-8409,Journal of Financial Econometrics,Economics,,3,1,A,B,3,S,5.6,B,A*,2
1502-2250,Scandinavian Journal of Hospitality and Tourism,Tourism,,,1,,,2,,7.9,,A,
1523-2409,Journal of Supply Chain Management,"OR,MS,POM",,2,2,A,A,4,P,16.0,B,A*,1
1523-4614,Manufacturing and Service Operations Management,"OR,MS,POM",1,2,2,A,A,3,P*,9.3,A,A*,1
1524-9050,IEEE Transactions on Intelligent Transportation Systems,"OR,MS,POM",,,2,,B,,S,14.8,B,A,
1525-383X,Multinational Business Review Communications of the Association for Information,IB,,3,,B,,3,M,5.4,C,B,3
1529-3181,Systems,"MIS, KM",,4,2,C,B,2,,3.9,B,A,3
1532-2882,"Journal of the Association for Information Science and Tec MIS, KM",[Range highest to,,,2,,B,3,,8.3,,,4
1532-3005,Stress and Health,"OS/OB,HRM/IR",,,1,,,3,,6.4,,A,
1532-9194,MIT Sloan Management Review,Gen & Strat,1,,2,A,B,3,M*,3.3,B,A,2
1533-2667,Journal of Relationship Marketing,Marketing,,,1,,,1,,10.2,C,B,
1536-9323,Journal of the Association for Information Systems,"MIS, KM",,2,2,A,A,4*,P,11.2,A,A*,1
1537-260X,Academy of Management Learning and Education,Education,,2,2,A,A,4*,EP*,8.2,B,A*,1
1539-6924,Risk Analysis,Sociology,,,1,,,4,,7.5,C,,
1540-1960,MIS Quarterly Executive,"MIS, KM",,,2,B,B,2,M,10.3,B,A,3
1541-1672,IEEE Intelligent Systems,"MIS, KM",,,2,,,,EP,13.8,,,
1542-4766,Journal of the European Economic Association,Economics,,1,2,A,,4,EP,7.8,A,A*,
1542-6297,Journal of International Accounting Research,F&A,,3,1,B,B,2,,1.4,B,A,3
1542-7560,Journal of Behavioral Finance,F&A,,,1,C,,2,,4.6,B,A,4
1544-6123,Finance Research Letters,F&A,,3,1,B,B,2,EP,11.1,B,A,3
1547-8181,Human Factors,"OS/OB,HRM/IR",,,1,,,3,,10.6,,,
1551-6709,Cognitive Science,Psychology,,,2,,,3,,4.1,,,
1554-964X,Geneva Risk and Insurance Review,F&A,,2,1,B,,2,,4.3,C,B,3
1555-0494,B.E. Journal of Economic Analysis and Policy,Economics,,3,1,B,,2,,1.5,,A,
1558-9080,Academy of Management Perspectives,Gen & Strat,,,2,A,A,4,S,18.2,B,A,2
1566-0141,Emerging Markets Review,F&A,,3,1,B,B,2,EP,7.1,C,A,3
1567-4223,Electronic Commerce Research and Applications,"MIS, KM",,4,2,B,B,2,S,10.1,C,B,4
1569-1721,Journal of Economic Inequality,Economics,,3,1,B,,2,,3.6,,A,
1569-5239,Review of Economics of the Household,Economics,,3,1,B,,2,,9.3,,A,
1570-7156,Quantitative Marketing and Economics,Marketing,,3,2,A,B,3,P,2.3,A,A,2
1572-3089,Journal of Financial Stability,F&A,,3,1,B,B,3,EP,7.7,A,A*,2
1572-3097,Review of Finance,F&A,1,1,2,A,A,4,P*,7.8,A,A*,1
1573-9414,Economic Change and Restructuring,Economics,,4,1,C,,1,,4.8,,B,
1608-1625,Asia-Pacific Journal of Accounting and Economics,F&A,,,1,,,2,,2.4,C,B,4
1610-2878,Review of World Economics,Economics,,2,1,A,,2,,3.4,,B,
1618-7598,European Journal of Health Economics,Economics,,2,1,A,B,2,EP,6.1,A,A,3
1740-4754,European Management Review,Gen & Strat,,3,1,A,B,3,S,7.2,B,B,2
1740-8776,Management and Organization Review,Gen & Strat,,3,1,B,B,3,S,5.2,B,A,3
1741-038X,Journal of Manufacturing Technology Management,"OR,MS,POM",,4,1,C,,1,EP,16.3,C,B,4
1741-0398,Journal of Enterprise Information Management,"MIS, KM",,4,1,B,,2,EP,14.8,C,A,3
1742-2043,Critical Perspectives on International Business,IB,,4,1,C,,2,,4.2,C,B,3
1742-7150,Leadership,"OS/OB,HRM/IR",,4,1,C,,2,,6.2,B,B,4
1743-9132,International Journal of Managerial Finance,F&A,,,1,,,2,,4.1,,A,4
1744-1374,Journal of Institutional Economics,Economics,,2,1,A,,3,,4.8,,B,
1744-9480,Accounting in Europe,F&A,,,1,C,,2,,5.0,B,A,3
1747-0218,Quarterly Journal of Experimental Psychology,Psychology,,,1,,,3,,3.5,,A,
1748-4995,Annals of Actuarial Science,F&A,,,1,,,1,,3.1,,A,4
1748-5991,Regulation and Governance,PSM,,,,,,3,,7.8,,A,
1751-1348,Journal of Management History,Gen & Strat,,,,,,1,,3.0,,B,4
1751-6757,European Journal of International Management,IB,,4,1,C,,2,,2.0,B,C,4
1753-0350,Journal of Cultural Economy,Economics,,,1,,,3,EP,n/a,,,4
1757-5818,Journal of Service Management,"OR,MS,POM",,3,1,B,B,2,EP,19.2,B,A,3
1759-7323,Quantitative Economics,Economics,,1,2,A,,4,,4.1,,A*,
1815-4654,International Journal of Central Banking,Economics,,3,1,B,,3,,2.3,C,A,
1815-5669,Journal of Contemporary Accounting and Economics,F&A,,,1,,,2,,6.0,C,A,3
1833-3672,Journal of Management and Organization,Gen & Strat,,,1,,,2,,6.6,B,A,
1863-6683,Review of Managerial Science,Gen & Strat,,4,1,C,,2,,11.3,B,A,3
1873-7838,Cognition,Psychology,,,2,,,4,,6.4,,,
1930-2975,Judgment and Decision Making,Psychology,,,1,,,3,,4.4,,A,3
1932-4391,Strategic Entrepreneurship Journal,Gen & Strat,1,2,2,A,A,4,P,11.1,A,A,1
1932-8575,Journal of Human Capital,Economics,,2,1,A,,3,,2.3,,A,
1933-6837,Theoretical Economics,Economics,,1,2,A,,4,,2.4,,A*,
1934-4554,Financial Markets and Portfolio Management,F&A,,,1,C,,2,,3.2,B,B,4
1935-1690,B.E. Journal of Macroeconomics,Economics,,2,1,A,,2,,0.8,,A,
1935-1704,B.E. Journal of Theoretical Economics,Economics [Range highest to,,3,1,B,,2,,0.8,,A,
1936-6582,Flexible Services and Manufacturing Journal,"OR,MS,POM",,3,1,B,,1,,5.6,B,C,4
1936-8623,Journal of Hospitality Marketing and Management,Tourism,,,1,,,1,EP,20.9,,A,4
1938-9027,Journal of Electronic Commerce Research,"MIS, KM",,,1,,,1,,6.3,C,B,4
1941-1367,Annual Review of Financial Economics,Economics,,,1,,,3,,5.0,B,B,
1941-1383,Annual Review of Economics,Economics,,2,1,A,,3,EP,9.7,,A*,
1941-6520,Academy of Management Annals,Gen & Strat,,2,2,A,A,4*,P*,36.0,A,A*,1
1944-3900,AIS Transactions on Human-Computer Interaction,"MIS, KM",,,1,,,2,,N/A,,A,3
1945-7669,American Economic Journal: Microeconomics,Economics,,1,2,A,,3,,2.9,A,A*,
1945-7707,American Economic Journal: Macroeconomics,Economics,,1,2,A,,4,EP,8.2,A,A*,
1945-7731,American Economic Journal: Economic Policy,Economics,,1,2,A,,3,EP*,8.2,A,A*,
1945-7782,American Economic Journal: Applied Economics,Economics,,1,2,A,,4,EP*,9.1,A,A*,
1948-5506,Social Psychological and Personality Science,Psychology,,,,,,3,EP,12.5,,B,
2040-7157,"Equality, Diversity, and Inclusion: An International Review","OS/OB,HRM/IR",,,1,,,1,,4.5,B,B,4
2041-1723,Nature Communications,Gen & Strat,,,2,,,,,24.9,A,,
2041-3866,Organizational Psychology Review,"OS/OB,HRM/IR",,,1,C,B,2,EP,10.0,B,A,3
2041-4161,IMF Economic Review,Economics,,3,1,,,3,,5.5,,A,
2042-5791,Global Strategy Journal,Gen & Strat,,3,2,B,B,4,P,14.2,A,A,1
2045-9920,Review of Asset Pricing Studies,F&A,,,2,C,A,3,P,19.8,A,A*,3
2046-9128,Review of Corporate Finance Studies,F&A,,,2,B,A,3,P,17.8,A,A*,2
2049-8799,Journal of Global Mobility,HRM/IR,,,1,,,2,,3.2,C,B,
2051-8803,Journal of Professions and Organization,"OS/OB, HRM/IR",,,2,,B,2,,4.8,B,A,4
2055-6225,Journal of Service Theory and Practice,Marketing,,4,1,C,,1,,8.0,C,A,4
2059-5794,Cross Cultural and Strategic Management,"OS/OB,HRM/IR",,3,1,B,,2,,4.7,B,B,3
2155-2851,Accounting History Review,Bus Hist,,2,1,A,,2,,1.2,B,B,3
2156-8316,Tourism Planning and Development,Tourism,,,,,,2,,6.8,,A,4
2164-5744,Critical Finance Review,F&A,,,1,,B,1,PA,2.4,A,A*,4
2168-1007,Academy of Management Discoveries,Gen & Strat,,,1,,,3,P,10.0,A,A*,3
2191-4761,Journal of Management Control,F&A,,,1,,,2,,5.6,B,A,
2211-9736,Tourism Management Perspectives,Tourism,,,1,,,2,,15.6,,A*,3
2212-571X,Journal of Destination Marketing and Management,Marketing,,,1,,,1,,18.6,,A,4
2214-8043,Journal of Behavioral and Experimental Economics,Economics,,3,1,B,,2,,2.6,B,A,3
2327-0616,"Annual Review of Organizational Psychology and Organiza Psych, OS/OB",,,,,C,,,,24.2,A,A*,3
2333-2050,Strategy Science,Gen & Strat,,3,1,B,B,3,PA,6.3,A,A,
2333-5955,Journal of the Association of Environmental and Resource Economics,,,,1,,,3,EP,5.6,,A*,3
2352-6734,Journal of Business Venturing Insights,Entrep,,,1,,B,2,,11.7,B,A,4
2380-2154,Journal of Financial Reporting,F&A,,,,,,3,,N/A,,A,
2397-0022,German Journal of Human Resource Management,HRM/IR,,,1,,,2,,8.1,B,B,
2397-3374,Nature Human Behavior,"OS/OB,HRM/IR",,,1,,,4,EP*,36.8,A,,
2405-8513,Journal of Commodity Markets,F&A,,,,,,3,,5.7,B,A,3
2522-0705,Journal of International Business Policy,IB,,,,,,3,,10.1,B,B,
2631-7877,Organization Theory,"OS/OB,HRM/IR",,,,,,,P*,13.7,A,A,4
2640-205X,American Economic Review: Insights,Economics,,,,,,3,EP*,N/A,A,A*,
8756-6222,"Journal of Law, Economics, and Organization",Economics,,1,2,A,B,3,S,2.2,B,A,2
8756-9728,Project Management Journal,Gen & Strat,,3,2,B,B,1,,9.3,B,B,4
